season,matchno,venue,innings,batsmen,bowlers,che,ban,del,hyd,kol,mum,pun,rr,runs
6,5,53.5,2,4,3,0,0,0,0,1,0,0,0,59
6,7,48.64705882352941,1,3,3,0,0,0,0,0,1,0,0,39
6,16,48.64705882352941,2,4,3,0,0,0,0,0,0,1,0,40
6,6,41.588235294117645,1,5,3,0,0,0,1,0,0,0,0,27
6,17,41.588235294117645,2,3,3,0,0,0,0,0,0,1,0,46
6,18,43.0,1,2,3,0,0,0,0,0,0,1,0,71
6,5,43.0,2,5,2,0,0,1,0,0,0,0,0,22
6,6,48.8,1,2,4,0,0,0,0,1,0,0,0,59
6,8,48.8,2,3,4,0,0,0,0,0,1,0,0,64
6,19,48.8,1,3,2,0,0,0,0,0,0,1,0,48
6,20,53.5,2,2,4,0,0,0,0,0,0,1,0,72
6,6,43.0,1,5,3,0,0,1,0,0,0,0,0,37
6,7,43.0,2,4,2,0,0,0,0,1,0,0,0,43
6,7,41.588235294117645,1,3,5,0,0,0,1,0,0,0,0,49
6,6,41.588235294117645,2,3,3,0,1,0,0,0,0,0,0,45
6,21,41.588235294117645,1,2,3,0,0,0,0,0,0,1,0,59
6,22,53.375,2,4,5,0,0,0,0,0,0,1,0,36
6,23,53.375,1,3,4,0,0,0,0,0,0,1,0,54
6,9,53.5,2,3,3,0,0,0,0,0,1,0,0,47
6,7,46.833333333333336,1,3,3,0,1,0,0,0,0,0,0,40
6,8,46.833333333333336,2,4,5,0,0,0,0,1,0,0,0,37
6,24,39.5,1,5,4,0,0,0,0,0,0,1,0,35
6,7,53.375,2,2,3,0,0,1,0,0,0,0,0,61
6,9,45.11764705882353,1,2,4,0,0,0,0,1,0,0,0,40
6,25,45.11764705882353,2,5,3,0,0,0,0,0,0,1,0,37
6,8,43.0,1,3,3,0,0,1,0,0,0,0,0,48
6,26,43.0,2,2,3,0,0,0,0,0,0,1,0,50
6,27,41.588235294117645,1,5,3,0,0,0,0,0,0,1,0,26
6,8,41.588235294117645,2,4,3,0,0,0,1,0,0,0,0,38
6,28,46.833333333333336,1,3,5,0,0,0,0,0,0,1,0,60
6,8,46.833333333333336,2,2,3,0,1,0,0,0,0,0,0,46
6,29,48.64705882352941,1,3,4,0,0,0,0,0,0,1,0,45
6,9,48.64705882352941,2,2,5,0,0,1,0,0,0,0,0,51
6,9,48.64705882352941,1,2,4,0,0,0,1,0,0,0,0,51
6,10,39.285714285714285,2,7,3,0,0,0,0,0,1,0,0,32
6,10,45.11764705882353,1,6,3,0,0,0,0,1,0,0,0,28
6,30,45.11764705882353,2,3,4,0,0,0,0,0,0,1,0,46
6,9,48.64705882352941,1,2,5,0,1,0,0,0,0,0,0,56
6,31,48.64705882352941,2,3,4,0,0,0,0,0,0,1,0,50
6,10,48.64705882352941,1,3,2,0,0,0,1,0,0,0,0,34
6,32,39.285714285714285,2,4,3,0,0,0,0,0,0,1,0,25
6,10,46.833333333333336,1,4,4,0,1,0,0,0,0,0,0,25
6,11,46.833333333333336,2,3,4,0,0,0,0,0,1,0,0,39
6,11,41.588235294117645,1,2,3,0,0,0,1,0,0,0,0,51
6,10,41.588235294117645,2,3,4,0,0,1,0,0,0,0,0,50
6,12,41.588235294117645,1,4,3,0,0,0,0,0,1,0,0,21
6,33,39.285714285714285,2,3,4,0,0,0,0,0,0,1,0,32
6,11,46.833333333333336,1,3,4,0,1,0,0,0,0,0,0,42
6,34,46.833333333333336,2,4,4,0,0,0,0,0,0,1,0,41
6,35,45.11764705882353,1,4,3,0,0,0,0,0,0,1,0,37
6,11,45.11764705882353,2,4,4,0,0,0,0,1,0,0,0,66
6,36,48.64705882352941,1,3,4,0,0,0,0,0,0,1,0,47
6,12,48.64705882352941,2,2,6,0,0,0,1,0,0,0,0,55
6,13,48.64705882352941,1,2,3,0,0,0,0,0,1,0,0,45
6,11,39.285714285714285,2,4,4,0,0,1,0,0,0,0,0,49
6,12,45.11764705882353,1,3,4,0,0,0,0,1,0,0,0,51
6,12,45.11764705882353,2,2,4,0,1,0,0,0,0,0,0,63
6,12,45.11764705882353,1,4,3,0,0,1,0,0,0,0,0,28
6,37,39.285714285714285,2,3,3,0,0,0,0,0,0,1,0,44
6,13,46.833333333333336,1,2,5,0,1,0,0,0,0,0,0,63
6,38,46.833333333333336,2,6,5,0,0,0,0,0,0,1,0,59
6,13,39.5,1,4,3,0,0,0,0,1,0,0,0,44
6,39,57.0,2,5,3,0,0,0,0,0,0,1,0,55
6,13,57.0,1,2,4,0,0,0,1,0,0,0,0,46
6,13,46.0,2,3,3,0,0,1,0,0,0,0,0,37
6,40,46.0,1,2,4,0,0,0,0,0,0,1,0,52
6,41,39.285714285714285,2,3,3,0,0,0,0,0,0,1,0,44
6,14,39.285714285714285,1,5,3,0,0,0,0,0,1,0,0,49
6,42,57.0,2,3,4,0,0,0,0,0,0,1,0,70
6,14,45.11764705882353,1,3,4,0,0,0,0,1,0,0,0,48
6,14,45.11764705882353,2,3,4,0,0,0,1,0,0,0,0,48
6,14,45.11764705882353,1,3,5,0,0,1,0,0,0,0,0,43
6,14,46.0,2,4,2,0,1,0,0,0,0,0,0,49
6,43,46.833333333333336,1,5,3,0,0,0,0,0,0,1,0,23
6,15,46.833333333333336,2,7,3,0,1,0,0,0,0,0,0,31
6,15,43.0,1,3,3,0,0,0,1,0,0,0,0,43
6,15,43.0,2,3,4,0,0,0,0,1,0,0,0,46
6,44,43.0,1,4,4,0,0,0,0,0,0,1,0,38
6,16,43.0,2,4,4,0,0,0,1,0,0,0,0,46
6,17,46.833333333333336,1,2,3,0,0,0,1,0,0,0,0,59
6,16,46.833333333333336,2,2,4,0,1,0,0,0,0,0,0,59
7,1,47.0,1,3,5,0,0,0,1,0,0,0,0,59
7,1,47.0,2,3,4,0,1,0,0,0,0,0,0,54
7,1,47.0,1,3,4,0,0,0,0,0,1,0,0,61
7,1,48.4,2,3,4,0,0,0,0,0,0,1,0,59
7,2,48.4,1,3,4,0,0,0,0,0,0,1,0,52
7,1,45.0,2,2,4,0,0,0,0,1,0,0,0,73
7,2,45.0,1,4,4,0,1,0,0,0,0,0,0,41
7,1,47.333333333333336,2,4,4,0,0,1,0,0,0,0,0,43
7,3,47.333333333333336,1,3,3,0,0,0,0,0,0,1,0,35
7,4,65.5,2,4,4,0,0,0,0,0,0,1,0,56
7,5,47.0,1,4,4,0,0,0,0,0,0,1,0,40
7,2,47.0,2,3,4,0,0,0,1,0,0,0,0,59
7,2,48.45,1,4,4,0,0,0,0,1,0,0,0,59
7,2,48.45,2,2,4,0,0,0,0,0,1,0,0,49
7,3,48.45,1,5,4,0,1,0,0,0,0,0,0,23
7,6,65.5,2,2,4,0,0,0,0,0,0,1,0,62
7,2,65.5,1,3,3,0,0,1,0,0,0,0,0,62
7,7,48.4,2,4,4,0,0,0,0,0,0,1,0,50
7,3,48.45,1,2,3,0,0,0,1,0,0,0,0,34
7,3,48.45,2,4,4,0,0,0,0,0,1,0,0,61
7,8,54.0,1,3,5,0,0,0,0,0,0,1,0,57
7,3,54.0,2,3,4,0,0,0,0,1,0,0,0,76
7,4,43.42857142857143,1,2,3,0,1,0,0,0,0,0,0,41
7,4,43.42857142857143,2,6,4,0,0,0,0,0,1,0,0,21
7,9,47.333333333333336,1,4,4,0,0,0,0,0,0,1,0,64
7,10,45.0,2,2,5,0,0,0,0,0,0,1,0,61
7,4,54.0,1,4,4,0,0,0,0,1,0,0,0,40
7,4,54.0,2,2,4,0,0,0,1,0,0,0,0,45
7,3,52.13333333333333,1,2,4,0,0,1,0,0,0,0,0,49
7,11,52.13333333333333,2,5,4,0,0,0,0,0,0,1,0,40
7,12,48.45,1,3,4,0,0,0,0,0,0,1,0,46
7,5,48.45,2,3,4,0,0,0,0,0,1,0,0,56
7,13,43.42857142857143,1,2,4,0,0,0,0,0,0,1,0,55
7,5,43.42857142857143,2,3,4,0,1,0,0,0,0,0,0,42
7,4,52.13333333333333,1,2,5,0,0,1,0,0,0,0,0,53
7,5,52.13333333333333,2,5,3,0,0,0,0,1,0,0,0,49
7,5,47.0,1,3,3,0,0,0,1,0,0,0,0,29
7,14,47.0,2,4,5,0,0,0,0,0,0,1,0,51
7,6,47.0,1,2,4,0,1,0,0,0,0,0,0,45
7,15,45.0,2,4,3,0,0,0,0,0,0,1,0,57
7,6,47.0,1,3,4,0,0,0,1,0,0,0,0,39
7,5,47.0,2,3,4,0,0,1,0,0,0,0,0,56
7,16,47.0,1,3,4,0,0,0,0,0,0,1,0,46
7,6,65.5,2,3,4,0,0,0,0,0,1,0,0,82
7,6,54.0,1,3,5,0,0,0,0,1,0,0,0,65
7,17,54.0,2,3,3,0,0,0,0,0,0,1,0,72
7,7,48.45,1,4,3,0,0,0,0,0,1,0,0,48
7,6,48.45,2,7,3,0,0,1,0,0,0,0,0,23
7,7,48.45,1,2,4,0,0,0,1,0,0,0,0,45
7,18,48.4,2,3,4,0,0,0,0,0,0,1,0,55
7,19,48.4,1,3,5,0,0,0,0,0,0,1,0,50
7,20,45.0,2,4,4,0,0,0,0,0,0,1,0,50
7,7,54.0,1,3,4,0,0,0,0,1,0,0,0,65
7,7,54.0,2,6,2,0,1,0,0,0,0,0,0,39
7,21,48.45,1,2,4,0,0,0,0,0,0,1,0,48
7,8,48.45,2,3,4,0,0,0,0,0,1,0,0,44
7,22,48.45,1,2,3,0,0,0,0,0,0,1,0,57
7,8,48.4,2,3,4,0,0,0,0,1,0,0,0,45
7,8,43.42857142857143,1,5,3,0,1,0,0,0,0,0,0,35
7,23,43.42857142857143,2,4,2,0,0,0,0,0,0,1,0,49
7,7,54.0,1,3,5,0,0,1,0,0,0,0,0,53
7,9,54.0,2,3,5,0,0,0,0,1,0,0,0,47
7,8,49.1,1,2,4,0,0,0,1,0,0,0,0,60
7,24,49.1,2,4,4,0,0,0,0,0,0,1,0,59
7,25,49.1,1,3,4,0,0,0,0,0,0,1,0,43
7,9,48.4,2,4,4,0,1,0,0,0,0,0,0,39
7,26,48.4,1,5,4,0,0,0,0,0,0,1,0,48
7,9,45.0,2,3,6,0,0,0,0,0,1,0,0,61
7,10,45.0,3,2,1,0,0,0,0,0,1,0,0,11
7,27,45.0,4,2,1,0,0,0,0,0,0,1,0,6
7,8,49.1,1,5,3,0,0,1,0,0,0,0,0,25
7,28,49.1,2,2,3,0,0,0,0,0,0,1,0,50
7,9,47.0,1,2,6,0,0,0,1,0,0,0,0,79
7,10,47.0,2,4,4,0,0,0,0,1,0,0,0,44
7,10,48.45,1,4,5,0,1,0,0,0,0,0,0,52
7,11,48.45,2,3,4,0,0,0,0,0,1,0,0,55
7,29,48.45,1,2,4,0,0,0,0,0,0,1,0,55
7,30,48.4,2,5,3,0,0,0,0,0,0,1,0,43
7,10,52.13333333333333,1,3,4,0,0,0,1,0,0,0,0,66
7,9,52.13333333333333,2,3,4,0,0,1,0,0,0,0,0,62
7,11,54.0,1,4,3,0,0,0,0,1,0,0,0,41
7,31,54.0,2,3,3,0,0,0,0,0,0,1,0,74
7,32,52.13333333333333,1,4,4,0,0,0,0,0,0,1,0,58
7,10,52.13333333333333,2,3,3,0,0,1,0,0,0,0,0,63
7,33,43.42857142857143,1,4,4,0,0,0,0,0,0,1,0,35
7,11,43.42857142857143,2,5,3,0,1,0,0,0,0,0,0,46
7,34,47.0,1,3,5,0,0,0,0,0,0,1,0,35
7,11,47.0,2,4,3,0,0,0,1,0,0,0,0,47
7,12,52.13333333333333,1,2,3,0,0,0,0,0,1,0,0,60
7,11,52.13333333333333,2,7,4,0,0,1,0,0,0,0,0,35
7,12,43.42857142857143,1,5,3,0,1,0,0,0,0,0,0,40
7,12,43.42857142857143,2,2,4,0,0,0,0,1,0,0,0,105
7,35,49.1,1,3,4,0,0,0,0,0,0,1,0,44
7,36,49.1,2,2,3,0,0,0,0,0,0,1,0,58
7,13,47.0,1,4,4,0,0,0,0,0,1,0,0,36
7,12,47.0,2,3,4,0,0,0,1,0,0,0,0,43
7,37,49.1,1,4,3,0,0,0,0,0,0,1,0,41
7,13,49.1,2,3,4,0,0,0,0,1,0,0,0,61
7,38,49.1,1,4,3,0,0,0,0,0,0,1,0,50
7,12,55.5,2,4,4,0,0,1,0,0,0,0,0,64
7,39,48.45,1,3,5,0,0,0,0,0,0,1,0,71
7,14,48.45,2,2,4,0,0,0,0,0,1,0,0,68
7,13,52.13333333333333,1,4,4,0,0,1,0,0,0,0,0,54
7,40,52.13333333333333,2,4,3,0,0,0,0,0,0,1,0,53
7,41,52.13333333333333,1,2,4,0,0,0,0,0,0,1,0,61
7,13,55.5,2,4,3,0,0,0,1,0,0,0,0,47
7,15,54.0,1,3,4,0,0,0,0,0,1,0,0,51
7,14,54.0,2,4,3,0,0,0,0,1,0,0,0,53
7,42,54.0,1,6,3,0,0,0,0,0,0,1,0,32
7,43,48.4,2,3,5,0,0,0,0,0,0,1,0,43
7,13,52.13333333333333,1,3,3,0,1,0,0,0,0,0,0,37
7,14,52.13333333333333,2,4,4,0,0,1,0,0,0,0,0,42
7,44,48.45,1,4,4,0,0,0,0,0,0,1,0,33
7,16,48.45,2,5,4,0,0,0,0,0,1,0,0,42
7,14,43.42857142857143,1,3,3,0,0,0,1,0,0,0,0,30
7,15,43.42857142857143,2,5,5,0,0,0,0,1,0,0,0,48
7,16,43.42857142857143,1,5,4,0,0,0,0,1,0,0,0,25
7,17,43.42857142857143,2,5,4,0,0,0,0,0,1,0,0,36
7,18,47.0,1,4,4,0,0,0,0,0,1,0,0,32
7,45,47.0,2,3,5,0,0,0,0,0,0,1,0,38
9,1,36.5,1,4,2,0,1,0,0,0,0,0,0,33
9,1,36.5,2,3,3,1,0,0,0,0,0,0,0,16
9,1,49.77777777777778,1,2,4,0,0,0,1,0,0,0,0,54
9,1,49.77777777777778,2,3,4,0,0,0,0,1,0,0,0,47
9,1,48.25,1,4,4,0,0,1,0,0,0,0,0,45
9,1,48.25,2,4,3,0,0,0,0,0,1,0,0,46
9,1,48.25,1,3,4,0,0,0,0,0,0,1,0,32
9,1,52.0,2,2,3,0,0,0,0,0,0,0,1,64
9,2,38.888888888888886,1,3,3,0,0,1,0,0,0,0,0,43
9,2,38.888888888888886,2,3,3,1,0,0,0,0,0,0,0,58
9,2,49.77777777777778,1,4,5,0,0,0,0,1,0,0,0,53
9,2,49.77777777777778,2,4,3,0,0,0,0,0,0,1,0,51
9,2,49.77777777777778,1,2,3,0,0,0,0,0,1,0,0,52
9,2,50.0,2,3,5,0,1,0,0,0,0,0,0,60
9,2,45.63636363636363,1,3,4,0,0,0,0,0,0,0,1,35
9,2,45.63636363636363,2,2,4,0,0,0,1,0,0,0,0,69
9,3,48.36363636363637,1,3,4,0,0,0,0,0,1,0,0,62
9,3,48.36363636363637,2,2,3,0,0,0,0,0,0,1,0,38
9,3,38.888888888888886,1,3,4,0,0,0,0,1,0,0,0,36
9,3,38.888888888888886,2,3,4,0,0,1,0,0,0,0,0,45
9,4,38.888888888888886,3,2,1,0,0,1,0,0,0,0,0,10
9,4,38.888888888888886,4,3,1,0,0,0,0,1,0,0,0,7
9,3,45.63636363636363,1,2,4,0,0,0,1,0,0,0,0,59
9,3,45.63636363636363,2,5,3,0,1,0,0,0,0,0,0,30
9,3,36.5,1,5,3,1,0,0,0,0,0,0,0,29
9,3,36.5,2,5,3,0,0,0,0,0,0,0,1,45
9,4,48.36363636363637,1,4,4,0,0,0,0,0,0,1,0,54
9,5,48.36363636363637,2,3,4,0,0,1,0,0,0,0,0,49
9,4,48.36363636363637,1,2,3,0,1,0,0,0,0,0,0,48
9,4,52.0,2,2,3,0,0,0,0,0,0,0,1,55
9,4,48.25,1,3,3,0,0,0,0,0,1,0,0,40
9,4,48.25,2,5,3,1,0,0,0,0,0,0,0,34
9,6,38.888888888888886,1,3,3,0,0,1,0,0,0,0,0,36
9,4,38.888888888888886,2,2,4,0,0,0,1,0,0,0,0,62
9,5,38.888888888888886,1,2,4,0,1,0,0,0,0,0,0,53
9,5,50.0,2,3,3,0,0,0,0,1,0,0,0,59
9,5,36.5,1,2,4,1,0,0,0,0,0,0,0,54
9,5,36.5,2,4,3,0,0,0,0,0,0,1,0,46
9,5,45.63636363636363,1,4,3,0,0,0,0,0,1,0,0,30
9,5,45.63636363636363,2,4,4,0,0,0,1,0,0,0,0,39
9,6,45.63636363636363,1,3,3,0,1,0,0,0,0,0,0,40
9,7,50.0,2,3,3,0,0,1,0,0,0,0,0,53
9,5,50.0,1,3,3,0,0,0,0,0,0,0,1,28
9,6,52.0,2,2,3,0,0,0,0,1,0,0,0,65
9,6,48.36363636363637,1,3,3,0,0,0,1,0,0,0,0,27
9,6,48.36363636363637,2,3,4,0,0,0,0,0,0,1,0,38
9,7,36.5,1,6,3,0,0,0,0,1,0,0,0,29
9,6,36.5,2,4,3,1,0,0,0,0,0,0,0,40
