season,matchno,venue,innings,batting_team,runs,batsmen,bowlers
5,14,47.32142857142857,2,ban,2,2,2
5,14,51.888888888888886,1,hyd,29,5,3
5,14,51.888888888888886,2,mum,38,2,4
5,15,46.833333333333336,1,mum,48,2,2
5,15,46.833333333333336,2,che,54,4,3
5,15,46.833333333333336,1,ban,41,2,4
5,14,42.5,2,rr,40,4,3
5,16,42.5,1,ban,29,4,2
5,16,34.0,2,che,34,3,3
5,16,45.666666666666664,1,mum,61,3,4
5,17,45.666666666666664,2,che,31,3,3
6,1,48.8,1,mum,37,6,3
6,1,48.8,2,pun,57,2,2
6,1,45.11764705882353,1,del,35,6,3
6,1,45.11764705882353,2,kol,47,2,3
6,2,48.64705882352941,1,pun,52,2,4
6,3,48.64705882352941,2,pun,57,3,4
6,1,46.833333333333336,1,ban,49,3,3
6,1,46.833333333333336,2,hyd,56,3,4
6,2,45.11764705882353,1,kol,40,3,3
6,2,45.11764705882353,2,mum,53,3,3
6,4,45.11764705882353,1,pun,57,3,4
6,5,53.375,2,pun,62,2,4
6,6,43.0,1,pun,37,3,4
6,2,43.0,2,del,28,3,4
6,2,41.588235294117645,1,hyd,36,4,3
6,3,41.588235294117645,2,kol,36,2,3
6,3,48.8,1,mum,31,4,2
6,7,48.8,2,pun,42,3,4
6,8,48.64705882352941,1,pun,49,3,4
6,9,48.64705882352941,2,pun,50,2,3
6,2,46.833333333333336,1,ban,63,3,3
6,3,46.833333333333336,2,del,51,4,3
6,4,41.588235294117645,1,mum,40,4,4
6,3,41.588235294117645,2,hyd,33,3,4
6,10,48.64705882352941,1,pun,41,3,3
6,4,48.64705882352941,2,kol,65,2,4
6,3,48.8,1,ban,49,3,3
6,5,48.8,2,mum,51,3,3
6,11,48.8,1,pun,50,3,4
6,4,53.375,2,hyd,63,2,4
6,4,53.375,1,ban,48,3,3
6,12,53.5,2,pun,36,5,4
6,4,43.0,1,del,41,3,4
6,6,43.0,2,mum,52,3,4
6,13,41.588235294117645,1,pun,35,4,4
6,5,41.588235294117645,2,hyd,65,2,4
6,5,41.588235294117645,1,ban,50,3,4
6,14,53.375,2,pun,72,2,4
6,15,53.375,1,pun,31,3,4
6,5,53.5,2,kol,59,4,3
6,7,48.64705882352941,1,mum,39,3,3
6,16,48.64705882352941,2,pun,40,4,3
6,6,41.588235294117645,1,hyd,27,5,3
6,17,41.588235294117645,2,pun,46,3,3
6,18,43.0,1,pun,71,2,3
6,5,43.0,2,del,22,5,2
6,6,48.8,1,kol,59,2,4
6,8,48.8,2,mum,64,3,4
6,19,48.8,1,pun,48,3,2
6,20,53.5,2,pun,72,2,4
6,6,43.0,1,del,37,5,3
6,7,43.0,2,kol,43,4,2
6,7,41.588235294117645,1,hyd,49,3,5
6,6,41.588235294117645,2,ban,45,3,3
6,21,41.588235294117645,1,pun,59,2,3
6,22,53.375,2,pun,36,4,5
6,23,53.375,1,pun,54,3,4
6,9,53.5,2,mum,47,3,3
6,7,46.833333333333336,1,ban,40,3,3
6,8,46.833333333333336,2,kol,37,4,5
6,24,39.5,1,pun,35,5,4
6,7,53.375,2,del,61,2,3
6,9,45.11764705882353,1,kol,40,2,4
6,25,45.11764705882353,2,pun,37,5,3
6,8,43.0,1,del,48,3,3
6,26,43.0,2,pun,50,2,3
6,27,41.588235294117645,1,pun,26,5,3
6,8,41.588235294117645,2,hyd,38,4,3
6,28,46.833333333333336,1,pun,60,3,5
6,8,46.833333333333336,2,ban,46,2,3
6,29,48.64705882352941,1,pun,45,3,4
6,9,48.64705882352941,2,del,51,2,5
6,9,48.64705882352941,1,hyd,51,2,4
6,10,39.285714285714285,2,mum,32,7,3
6,10,45.11764705882353,1,kol,28,6,3
6,30,45.11764705882353,2,pun,46,3,4
6,9,48.64705882352941,1,ban,56,2,5
6,31,48.64705882352941,2,pun,50,3,4
6,10,48.64705882352941,1,hyd,34,3,2
6,32,39.285714285714285,2,pun,25,4,3
6,10,46.833333333333336,1,ban,25,4,4
6,11,46.833333333333336,2,mum,39,3,4
6,11,41.588235294117645,1,hyd,51,2,3
6,10,41.588235294117645,2,del,50,3,4
6,12,41.588235294117645,1,mum,21,4,3
6,33,39.285714285714285,2,pun,32,3,4
6,11,46.833333333333336,1,ban,42,3,4
6,34,46.833333333333336,2,pun,41,4,4
6,35,45.11764705882353,1,pun,37,4,3
6,11,45.11764705882353,2,kol,66,4,4
6,36,48.64705882352941,1,pun,47,3,4
6,12,48.64705882352941,2,hyd,55,2,6
6,13,48.64705882352941,1,mum,45,2,3
6,11,39.285714285714285,2,del,49,4,4
6,12,45.11764705882353,1,kol,51,3,4
6,12,45.11764705882353,2,ban,63,2,4
6,12,45.11764705882353,1,del,28,4,3
6,37,39.285714285714285,2,pun,44,3,3
6,13,46.833333333333336,1,ban,63,2,5
6,38,46.833333333333336,2,pun,59,6,5
6,13,39.5,1,kol,44,4,3
6,39,57.0,2,pun,55,5,3
6,13,57.0,1,hyd,46,2,4
6,13,46.0,2,del,37,3,3
6,40,46.0,1,pun,52,2,4
6,41,39.285714285714285,2,pun,44,3,3
6,14,39.285714285714285,1,mum,49,5,3
6,42,57.0,2,pun,70,3,4
6,14,45.11764705882353,1,kol,48,3,4
6,14,45.11764705882353,2,hyd,48,3,4
6,14,45.11764705882353,1,del,43,3,5
6,14,46.0,2,ban,49,4,2
6,43,46.833333333333336,1,pun,23,5,3
6,15,46.833333333333336,2,ban,31,7,3
6,15,43.0,1,hyd,43,3,3
6,15,43.0,2,kol,46,3,4
6,44,43.0,1,pun,38,4,4
6,16,43.0,2,hyd,46,4,4
6,17,46.833333333333336,1,hyd,59,2,3
6,16,46.833333333333336,2,ban,59,2,4
7,1,47.0,1,hyd,59,3,5
7,1,47.0,2,ban,54,3,4
7,1,47.0,1,mum,61,3,4
7,1,48.4,2,pun,59,3,4
7,2,48.4,1,pun,52,3,4
7,1,45.0,2,kol,73,2,4
7,2,45.0,1,ban,41,4,4
7,1,47.333333333333336,2,del,43,4,4
7,3,47.333333333333336,1,pun,35,3,3
7,4,65.5,2,pun,56,4,4
7,5,47.0,1,pun,40,4,4
7,2,47.0,2,hyd,59,3,4
7,2,48.45,1,kol,59,4,4
7,2,48.45,2,mum,49,2,4
7,3,48.45,1,ban,23,5,4
7,6,65.5,2,pun,62,2,4
7,2,65.5,1,del,62,3,3
7,7,48.4,2,pun,50,4,4
7,3,48.45,1,hyd,34,2,3
7,3,48.45,2,mum,61,4,4
7,8,54.0,1,pun,57,3,5
7,3,54.0,2,kol,76,3,4
7,4,43.42857142857143,1,ban,41,2,3
7,4,43.42857142857143,2,mum,21,6,4
7,9,47.333333333333336,1,pun,64,4,4
7,10,45.0,2,pun,61,2,5
7,4,54.0,1,kol,40,4,4
7,4,54.0,2,hyd,45,2,4
7,3,52.13333333333333,1,del,49,2,4
7,11,52.13333333333333,2,pun,40,5,4
7,12,48.45,1,pun,46,3,4
7,5,48.45,2,mum,56,3,4
7,13,43.42857142857143,1,pun,55,2,4
7,5,43.42857142857143,2,ban,42,3,4
7,4,52.13333333333333,1,del,53,2,5
7,5,52.13333333333333,2,kol,49,5,3
7,5,47.0,1,hyd,29,3,3
7,14,47.0,2,pun,51,4,5
7,6,47.0,1,ban,45,2,4
7,15,45.0,2,pun,57,4,3
7,6,47.0,1,hyd,39,3,4
7,5,47.0,2,del,56,3,4
7,16,47.0,1,pun,46,3,4
7,6,65.5,2,mum,82,3,4
7,6,54.0,1,kol,65,3,5
7,17,54.0,2,pun,72,3,3
7,7,48.45,1,mum,48,4,3
7,6,48.45,2,del,23,7,3
7,7,48.45,1,hyd,45,2,4
7,18,48.4,2,pun,55,3,4
7,19,48.4,1,pun,50,3,5
7,20,45.0,2,pun,50,4,4
7,7,54.0,1,kol,65,3,4
7,7,54.0,2,ban,39,6,2
7,21,48.45,1,pun,48,2,4
7,8,48.45,2,mum,44,3,4
7,22,48.45,1,pun,57,2,3
7,8,48.4,2,kol,45,3,4
7,8,43.42857142857143,1,ban,35,5,3
7,23,43.42857142857143,2,pun,49,4,2
7,7,54.0,1,del,53,3,5
7,9,54.0,2,kol,47,3,5
7,8,49.1,1,hyd,60,2,4
7,24,49.1,2,pun,59,4,4
7,25,49.1,1,pun,43,3,4
7,9,48.4,2,ban,39,4,4
7,26,48.4,1,pun,48,5,4
7,9,45.0,2,mum,61,3,6
7,10,45.0,3,mum,11,2,1
7,27,45.0,4,pun,6,2,1
7,8,49.1,1,del,25,5,3
7,28,49.1,2,pun,50,2,3
7,9,47.0,1,hyd,79,2,6
7,10,47.0,2,kol,44,4,4
7,10,48.45,1,ban,52,4,5
7,11,48.45,2,mum,55,3,4
7,29,48.45,1,pun,55,2,4
7,30,48.4,2,pun,43,5,3
7,10,52.13333333333333,1,hyd,66,3,4
7,9,52.13333333333333,2,del,62,3,4
7,11,54.0,1,kol,41,4,3
7,31,54.0,2,pun,74,3,3
7,32,52.13333333333333,1,pun,58,4,4
7,10,52.13333333333333,2,del,63,3,3
7,33,43.42857142857143,1,pun,35,4,4
7,11,43.42857142857143,2,ban,46,5,3
7,34,47.0,1,pun,35,3,5
7,11,47.0,2,hyd,47,4,3
7,12,52.13333333333333,1,mum,60,2,3
7,11,52.13333333333333,2,del,35,7,4
7,12,43.42857142857143,1,ban,40,5,3
7,12,43.42857142857143,2,kol,105,2,4
7,35,49.1,1,pun,44,3,4
7,36,49.1,2,pun,58,2,3
7,13,47.0,1,mum,36,4,4
7,12,47.0,2,hyd,43,3,4
7,37,49.1,1,pun,41,4,3
7,13,49.1,2,kol,61,3,4
7,38,49.1,1,pun,50,4,3
7,12,55.5,2,del,64,4,4
7,39,48.45,1,pun,71,3,5
7,14,48.45,2,mum,68,2,4
7,13,52.13333333333333,1,del,54,4,4
7,40,52.13333333333333,2,pun,53,4,3
7,41,52.13333333333333,1,pun,61,2,4
7,13,55.5,2,hyd,47,4,3
7,15,54.0,1,mum,51,3,4
7,14,54.0,2,kol,53,4,3
7,42,54.0,1,pun,32,6,3
7,43,48.4,2,pun,43,3,5
7,13,52.13333333333333,1,ban,37,3,3
7,14,52.13333333333333,2,del,42,4,4
7,44,48.45,1,pun,33,4,4
7,16,48.45,2,mum,42,5,4
7,14,43.42857142857143,1,hyd,30,3,3
7,15,43.42857142857143,2,kol,48,5,5
7,16,43.42857142857143,1,kol,25,5,4
7,17,43.42857142857143,2,mum,36,5,4
7,18,47.0,1,mum,32,4,4
7,45,47.0,2,pun,38,3,5
9,1,36.5,1,ban,33,4,2
9,1,36.5,2,che,16,3,3
9,1,49.77777777777778,1,hyd,54,2,4
9,1,49.77777777777778,2,kol,47,3,4
9,1,48.25,1,del,45,4,4
9,1,48.25,2,mum,46,4,3
9,1,48.25,1,pun,32,3,4
9,1,52.0,2,rr,64,2,3
9,2,38.888888888888886,1,del,43,3,3
9,2,38.888888888888886,2,che,58,3,3
9,2,49.77777777777778,1,kol,53,4,5
9,2,49.77777777777778,2,pun,51,4,3
9,2,49.77777777777778,1,mum,52,2,3
9,2,50.0,2,ban,60,3,5
9,2,45.63636363636363,1,rr,35,3,4
9,2,45.63636363636363,2,hyd,69,2,4
9,3,48.36363636363637,1,mum,62,3,4
9,3,48.36363636363637,2,pun,38,2,3
9,3,38.888888888888886,1,kol,36,3,4
9,3,38.888888888888886,2,del,45,3,4
9,4,38.888888888888886,3,del,10,2,1
9,4,38.888888888888886,4,kol,7,3,1
9,3,45.63636363636363,1,hyd,59,2,4
9,3,45.63636363636363,2,ban,30,5,3
9,3,36.5,1,che,29,5,3
9,3,36.5,2,rr,45,5,3
9,4,48.36363636363637,1,pun,54,4,4
9,5,48.36363636363637,2,del,49,3,4
9,4,48.36363636363637,1,ban,48,2,3
9,4,52.0,2,rr,55,2,3
9,4,48.25,1,mum,40,3,3
9,4,48.25,2,che,34,5,3
9,6,38.888888888888886,1,del,36,3,3
9,4,38.888888888888886,2,hyd,62,2,4
9,5,38.888888888888886,1,ban,53,2,4
9,5,50.0,2,kol,59,3,3
9,5,36.5,1,che,54,2,4
9,5,36.5,2,pun,46,4,3
9,5,45.63636363636363,1,mum,30,4,3
9,5,45.63636363636363,2,hyd,39,4,4
9,6,45.63636363636363,1,ban,40,3,3
9,7,50.0,2,del,53,3,3
9,5,50.0,1,rr,28,3,3
9,6,52.0,2,kol,65,2,3
9,6,48.36363636363637,1,hyd,27,3,3
9,6,48.36363636363637,2,pun,38,3,4
9,7,36.5,1,kol,29,6,3
9,6,36.5,2,che,40,4,3
9,7,48.25,1,pun,50,2,3
9,6,48.25,2,mum,50,3,3
9,6,48.25,1,rr,54,5,3
9,7,52.0,2,che,24,6,3
9,8,49.77777777777778,1,kol,41,3,4
9,8,49.77777777777778,2,del,57,4,3
9,7,48.25,1,mum,57,2,4
9,7,48.25,2,rr,59,2,4
9,8,48.36363636363637,1,pun,60,2,3
9,7,48.36363636363637,2,ban,63,3,4
9,9,49.77777777777778,1,kol,49,3,4
9,8,49.77777777777778,2,che,44,4,4
9,9,45.63636363636363,1,del,51,4,3
9,7,45.63636363636363,2,hyd,40,2,3
9,8,48.25,1,ban,45,3,3
9,8,48.25,2,mum,67,2,4
9,9,48.36363636363637,1,pun,39,3,3
9,8,48.36363636363637,2,rr,54,3,2
9,9,45.63636363636363,1,che,41,2,3
9,8,45.63636363636363,2,hyd,68,3,3
8,1,48.73913043478261,1,mum,39,4,2
8,1,48.73913043478261,2,che,42,3,4
8,1,57.714285714285715,1,del,45,3,5
8,1,57.714285714285715,2,pun,73,4,4
8,1,52.76190476190476,1,ban,52,3,3
8,1,52.76190476190476,2,kol,68,4,4
8,1,50.529411764705884,1,rr,48,3,3
8,1,50.529411764705884,2,hyd,57,3,4
8,2,63.333333333333336,1,kol,64,4,5
8,2,63.333333333333336,2,che,75,3,4
8,2,63.333333333333336,1,rr,51,4,3
8,2,49.22222222222222,2,del,60,4,4
8,2,50.529411764705884,1,mum,54,3,4
8,2,50.529411764705884,2,hyd,56,2,4
8,2,50.529411764705884,1,pun,50,5,3
8,2,50.75,2,ban,41,4,4
8,3,48.73913043478261,1,mum,84,2,4
8,3,48.73913043478261,2,del,53,3,4
8,3,52.76190476190476,1,kol,49,3,4
8,3,52.76190476190476,2,hyd,46,4,4
8,3,52.76190476190476,1,rr,52,3,4
8,3,50.75,2,ban,64,3,4
8,3,57.714285714285715,1,pun,75,2,3
8,3,57.714285714285715,2,che,53,4,4
8,4,52.76190476190476,1,kol,50,3,3
8,4,52.76190476190476,2,del,56,5,4
8,4,48.73913043478261,1,mum,60,4,4
8,4,48.73913043478261,2,ban,55,4,4
8,4,48.73913043478261,1,rr,48,2,4
8,5,49.22222222222222,2,kol,53,3,4
8,4,57.714285714285715,1,pun,49,2,4
8,4,57.714285714285715,2,hyd,40,5,3
8,4,57.714285714285715,1,che,69,3,5
8,5,44.25,2,rr,35,5,3
8,6,52.76190476190476,1,kol,50,3,4
8,5,52.76190476190476,2,pun,73,2,5
8,5,52.76190476190476,1,del,28,4,3
8,5,50.75,2,ban,43,4,4
8,5,50.529411764705884,1,che,27,3,4
8,5,50.529411764705884,2,hyd,40,5,3
8,5,50.529411764705884,1,mum,43,3,4
8,6,49.22222222222222,2,rr,43,4,4
8,6,49.1578947368421,1,pun,51,4,3
8,6,49.1578947368421,2,del,48,5,3
8,6,48.73913043478261,1,hyd,51,6,3
8,6,48.73913043478261,2,mum,22,5,3
8,6,48.73913043478261,1,ban,52,3,3
8,6,50.75,2,che,55,4,4
8,7,50.529411764705884,1,hyd,37,5,2
8,7,50.529411764705884,2,pun,44,2,3
8,7,49.1578947368421,1,del,57,2,5
8,7,49.1578947368421,2,kol,51,6,4
8,7,49.1578947368421,1,che,51,3,4
8,7,44.25,2,mum,50,2,4
8,8,44.25,1,hyd,39,3,4
8,7,49.22222222222222,2,rr,43,3,4
8,7,49.22222222222222,1,ban,40,2,4
8,8,50.75,2,kol,51,2,3
8,8,50.75,1,che,56,2,4
8,8,44.25,2,del,59,4,3
8,8,44.25,1,ban,43,2,4
8,8,50.75,2,mum,40,5,3
8,9,49.1578947368421,1,del,62,3,5
8,8,49.1578947368421,2,rr,79,2,5
8,9,52.76190476190476,1,che,57,3,4
8,9,52.76190476190476,2,kol,56,4,3
8,8,52.76190476190476,1,pun,49,2,3
8,9,48.8,2,mum,39,3,4
8,9,48.8,1,ban,47,3,3
8,10,44.25,2,che,42,3,3
8,10,50.529411764705884,1,del,60,3,4
8,9,50.529411764705884,2,hyd,61,2,4
8,10,48.73913043478261,1,mum,56,2,5
8,10,48.73913043478261,2,kol,47,4,3
8,9,48.73913043478261,1,rr,45,4,4
8,9,48.8,2,pun,34,4,4
8,10,50.529411764705884,1,hyd,38,3,4
8,10,50.529411764705884,2,ban,55,3,4
8,10,50.529411764705884,1,rr,63,3,4
8,10,49.22222222222222,2,pun,33,5,4
8,11,52.76190476190476,1,mum,47,3,5
8,11,52.76190476190476,2,kol,47,4,4
8,11,49.1578947368421,1,del,38,4,4
8,11,49.1578947368421,2,hyd,51,3,4
8,11,49.1578947368421,1,che,55,3,5
8,11,49.22222222222222,2,rr,57,4,4
8,12,49.22222222222222,1,kol,59,3,5
8,11,48.8,2,pun,58,3,4
8,12,49.1578947368421,1,del,44,4,3
8,11,49.1578947368421,2,ban,58,4,4
8,12,49.1578947368421,1,hyd,29,3,3
8,12,44.25,2,che,53,2,4
8,12,48.73913043478261,1,mum,51,2,4
8,12,48.73913043478261,2,rr,51,3,4
8,12,48.73913043478261,1,pun,47,5,3
8,12,48.8,2,ban,66,2,4
8,13,52.76190476190476,1,rr,68,3,4
8,13,52.76190476190476,2,kol,51,4,3
8,13,48.73913043478261,1,mum,60,5,3
8,13,48.73913043478261,2,pun,57,3,4
8,13,48.73913043478261,1,ban,44,4,4
8,13,50.75,2,hyd,56,3,4
8,13,49.1578947368421,1,del,39,3,4
8,13,49.1578947368421,2,che,44,2,4
8,14,49.1578947368421,1,rr,45,3,4
8,14,49.22222222222222,2,ban,55,3,4
8,14,50.529411764705884,1,hyd,60,2,5
8,14,50.529411764705884,2,kol,66,3,4
8,14,49.1578947368421,1,del,46,4,4
8,14,49.1578947368421,2,mum,57,3,5
8,14,49.1578947368421,1,pun,29,5,2
8,14,44.25,2,che,33,5,3
8,15,48.73913043478261,1,hyd,47,5,3
8,15,48.73913043478261,2,che,33,5,3
8,15,52.76190476190476,1,kol,46,5,3
8,15,52.76190476190476,2,rr,51,3,4
8,16,52.76190476190476,1,hyd,45,2,4
8,16,52.76190476190476,2,kol,67,3,3
8,17,48.73913043478261,1,hyd,42,3,3
8,16,48.73913043478261,2,che,35,3,2
9,1,51.77777777777778,1,mum,57,2,4
9,1,51.77777777777778,2,del,48,2,5
9,1,43.285714285714285,1,ban,42,3,3
9,1,43.285714285714285,2,kol,37,5,3
9,2,43.285714285714285,1,mum,46,3,5
9,1,59.666666666666664,2,rr,60,3,5
9,1,51.77777777777778,1,pun,50,4,3
9,2,51.77777777777778,2,del,60,3,5
9,2,57.875,1,kol,61,4,4
9,1,57.875,2,hyd,72,2,5
9,2,57.875,1,ban,49,3,2
9,1,48.4,2,che,32,6,3
9,2,48.4,1,rr,52,2,3
9,3,59.666666666666664,2,del,59,2,5
9,2,47.72727272727273,1,hyd,54,3,2
9,2,47.72727272727273,2,che,49,3,4
9,3,47.72727272727273,1,ban,70,3,2
9,2,48.4,2,pun,68,3,4
9,3,43.285714285714285,1,kol,32,4,3
9,3,43.285714285714285,2,rr,55,3,5
9,3,47.72727272727273,1,mum,45,3,2
9,3,47.72727272727273,2,che,40,5,4
9,3,47.72727272727273,1,hyd,51,3,4
9,4,59.666666666666664,2,rr,60,2,5
9,4,51.77777777777778,1,del,59,3,4
9,4,51.77777777777778,2,ban,64,3,4
9,4,43.285714285714285,1,kol,50,2,4
9,4,43.285714285714285,2,mum,41,4,3
9,4,57.875,1,hyd,77,2,4
9,3,57.875,2,pun,44,3,4
9,5,57.875,1,ban,62,8,5
9,5,48.4,2,rr,41,2,4
9,4,47.72727272727273,1,che,27,3,4
9,5,47.72727272727273,2,del,59,4,2
9,5,35.833333333333336,1,mum,44,3,4
9,5,35.833333333333336,2,hyd,59,4,3
9,6,35.833333333333336,3,hyd,8,3,1
9,6,35.833333333333336,4,mum,9,2,1
9,4,53.25,1,pun,41,4,3
9,5,53.25,2,kol,62,2,4
9,6,51.77777777777778,1,rr,30,6,3
9,6,51.77777777777778,2,del,46,4,5
9,7,51.77777777777778,1,hyd,52,3,3
9,6,48.4,2,ban,49,5,3
9,5,53.25,1,che,42,3,4
9,5,53.25,2,pun,68,2,3
9,6,35.833333333333336,1,kol,49,2,5
9,7,35.833333333333336,2,mum,46,2,4
9,6,47.72727272727273,1,che,32,4,5
9,8,47.72727272727273,2,mum,44,4,2
9,8,47.72727272727273,1,hyd,54,3,3
9,7,46.0,2,del,55,2,4
9,8,46.0,1,del,41,4,3
9,7,46.0,2,che,42,2,3
9,9,57.875,1,mum,45,4,3
9,8,57.875,2,che,53,3,4
10,1,51.0,1,mum,51,4,4
10,1,44.73913043478261,2,che,37,4,3
10,1,44.73913043478261,1,del,23,5,3
10,1,39.13559322033898,2,pun,35,5,4
10,2,39.13559322033898,3,pun,2,2,1
10,2,39.13559322033898,4,del,3,1,1
10,1,39.13559322033898,1,ban,53,2,5
10,1,39.13559322033898,2,hyd,48,3,3
10,1,39.13559322033898,1,rr,54,3,3
10,2,50.0,2,che,53,2,4
10,2,50.0,1,mum,59,3,4
10,1,44.73913043478261,2,kol,33,4,4
10,3,44.73913043478261,1,del,36,2,3
10,3,39.13559322033898,2,che,34,3,4
10,3,39.13559322033898,1,pun,50,2,3
10,2,39.13559322033898,2,ban,40,5,3
10,2,39.13559322033898,1,hyd,40,3,3
10,2,44.73913043478261,2,kol,52,4,3
10,4,44.73913043478261,1,pun,60,2,3
10,2,50.0,2,rr,69,3,4
10,3,50.0,1,kol,42,3,4
10,3,39.13559322033898,2,rr,39,4,3
10,3,39.13559322033898,1,hyd,38,2,4
10,4,44.73913043478261,2,del,34,3,3
10,3,44.73913043478261,1,ban,59,2,4
10,3,39.13559322033898,2,mum,35,4,3
10,4,39.13559322033898,3,mum,7,2,1
10,4,39.13559322033898,4,ban,11,2,1
10,5,39.13559322033898,1,mum,41,4,4
10,5,44.73913043478261,2,pun,41,4,4
10,4,44.73913043478261,1,hyd,42,3,3
10,4,39.13559322033898,2,che,36,4,3
10,4,39.13559322033898,1,rr,38,5,4
10,5,44.73913043478261,2,ban,50,3,4
10,5,44.73913043478261,1,del,57,2,4
10,4,50.0,2,kol,59,3,5
10,6,50.0,1,pun,46,2,3
10,5,39.13559322033898,2,che,60,2,4
10,6,39.13559322033898,1,mum,48,4,3
10,5,50.0,2,hyd,56,3,4
10,6,50.0,1,del,63,2,4
10,6,39.13559322033898,2,ban,43,4,5
10,7,39.13559322033898,1,mum,57,3,5
10,5,44.73913043478261,2,rr,31,5,3
10,5,44.73913043478261,1,kol,52,3,3
10,6,44.73913043478261,2,che,54,3,2
10,6,44.73913043478261,1,hyd,58,2,3
